First_Term_Gpa,Second_Term_Gpa,First_Language,Funding,FastTrack,Coop,Residency,Gender,Previous_Education,Age_Group,Math_Score,English_Grade,First_Year_Persistence
2.0,1.388889,1,2.0,1,0,0,2.0,1,1,22.0,7,0.0
1.285714,1.458333,3,4.0,0,1,1,1.0,2,3,32.6760710553814,10,1.0
0.0,2.8201755787000775,1,2.0,1,1,0,2.0,1,4,25.0,9,0.0
3.409091,3.194444,1,2.0,1,1,0,2.0,1,3,15.0,9,1.0
3.173913,3.18,3,4.0,0,1,1,2.0,2,3,32.6760710553814,10,1.0
2.1,2.386364,4,4.0,1,1,1,2.0,1,3,44.0,8,0.0
3.025,3.275,1,2.0,1,1,0,2.0,1,1,29.0,9,1.0
2.434783,2.307692,3,4.0,0,1,1,2.0,1,3,32.6760710553814,8,1.0
3.568182,3.236842,3,4.0,1,1,1,2.0,2,1,45.0,9,1.0
2.90625,1.884615,3,2.0,1,1,0,2.0,1,1,27.0,9,1.0
3.35,3.361111,3,2.0,1,1,0,1.0,2,3,46.0,4,1.0
4.131579,3.891304,2,2.0,1,1,0,2.0,2,6,46.0,8,1.0
4.357143,4.409091,1,2.0,1,1,0,2.0,1,3,48.0,10,1.0
4.076923,4.434783,1,2.0,0,1,0,2.0,2,7,32.6760710553814,10,1.0
0.947368,2.03125,1,2.0,1,1,0,1.0,1,1,14.0,7,0.0
4.08,4.175,1,2.0,1,1,0,2.0,2,7,21.0,9,1.0
3.895833,3.857143,1,2.0,1,1,0,1.0,2,2,21.0,9,1.0
2.289474,2.478261,1,2.0,1,1,0,2.0,1,2,15.0,7,1.0
3.16,3.545455,1,2.0,1,1,0,1.0,1,1,38.0,9,1.0
3.428571,3.4,3,4.0,1,1,1,2.0,1,4,43.0,8,1.0
3.541667,3.021739,1,2.0,1,1,0,2.0,1,2,30.0,9,1.0
3.904762,2.590909,3,4.0,1,1,1,2.0,2,1,42.0,9,1.0
4.285714,4.019231,3,5.0,1,1,1,1.0,1,3,49.0,8,1.0
3.942308,3.769231,3,4.0,0,0,1,2.0,2,3,32.6760710553814,4,1.0
3.673913,3.942308,4,4.0,0,1,1,2.0,2,5,32.6760710553814,7,1.0
3.880952,3.0,1,2.0,1,0,0,1.0,1,1,43.0,9,1.0
3.52,3.391304,1,2.0,1,1,0,2.0,1,1,40.0,3,1.0
3.916667,3.769231,3,2.0,0,0,0,2.0,2,7,32.6760710553814,10,1.0
3.708333,3.25,4,5.0,1,1,1,2.0,1,2,48.0,7,1.0
3.804348,3.565217,1,2.0,1,1,0,2.0,1,1,39.0,9,1.0
4.021739,3.74,1,2.0,0,1,0,1.0,2,5,32.6760710553814,10,1.0
3.041667,3.303571,3,4.0,0,1,1,2.0,1,4,32.6760710553814,7,1.0
2.421053,1.076923,1,2.0,1,1,0,2.0,1,2,24.0,7,1.0
2.833333,3.318182,3,2.0,1,1,0,2.0,2,3,32.6760710553814,8,0.0
4.304348,4.0,1,2.0,1,0,0,1.0,2,3,44.0,9,1.0
4.238095,3.891304,3,2.0,1,1,0,2.0,2,6,48.0,10,1.0
3.568182,3.148148,3,4.0,0,1,1,2.0,1,4,32.6760710553814,9,1.0
4.022727,3.796296,3,4.0,0,1,1,2.0,1,3,32.6760710553814,10,1.0
2.416667,3.527778,3,4.0,1,1,1,2.0,2,1,49.0,10,1.0
0.0,2.8201755787000775,1,2.0,1,1,0,2.0,1,3,32.6760710553814,9,0.0
4.434783,4.277778,3,4.0,1,1,1,2.0,2,2,49.0,10,1.0
2.090909,1.833333,1,2.0,1,1,0,2.0,1,2,17.0,3,1.0
3.04,3.083333,1,1.0,1,0,0,2.0,1,4,27.0,9,1.0
2.891304,2.788462,3,4.0,0,1,1,2.0,2,4,32.6760710553814,8,1.0
3.55,3.6,1,2.0,1,1,0,2.0,2,3,37.0,9,1.0
